Dataset,Record ID
UTHSC-BXD-Harv_Liv-0118,ENSMUST00000034351
UTHSC-BXD-Harv_Liv-1019,ENSMUST00000034351
UTHSC-BXD-Liv-0917,TC0800002807.mm.2
UTHSC-BXD-Liv-0818,TC0800002807.mm.2
UTHSC-BXD-Harv_Liv-0118,ENSMUST00000102777
UTHSC-BXD-Harv_Liv-0118,ENSMUST00000106921
UTHSC-BXD-Harv_Liv-0118,ENSMUST00000037552
UTHSC-BXD-Harv_Liv-1019,ENSMUST00000102777
UTHSC-BXD-Harv_Liv-1019,ENSMUST00000106921
UTHSC-BXD-Harv_Liv-1019,ENSMUST00000037552
UTHSC-BXD-Liv-0917,TC0400001039.mm.2
UTHSC-BXD-Liv-0818,TC0400001039.mm.2
UTHSC-ETHZ_LivPMetExtCDHFD_Ind_1223,160.0614417_MZ
UTHSC-ETHZ_LivPMetExtCDHFD_Ind_1223,88.04051410_MZ
UTHSC-ETHZ_LivPMetExtCDHFD_Ind_1223,71.01382126_MZ
UTHSC-ETHZ_LivPMetExtCDHFD_Ind_1223,121.0405399_MZ
UTHSC-ETHZ_LivPMetExtCDHFD_Ind_1223,163.0611330_MZ
UTHSC-ETHZ_LivPMetExtCDHFD_Ind_1223,101.0245480_MZ
UTHSC-ETHZ_LivPMetExtCDHFD_Ind_1223,184.0017390_MZ
UTHSC-ETHZ_LivPMetExtCDHFD_Ind_1223,606.0757000_MZ
UTHSC-ETHZ_LivPMetExtCDHFD_Ind_1223,303.2325397_MZ
UTHSC-ETHZ_LivPMetExtCDHFD_Ind_1223,103.0399000_MZ
